BA2100S,Stairs,0,0,0,0,43.659872,-79.397228,Bahen,2,No description available
BA2100E,Elevator,0,0,0,0,43.659786,-79.397208,Bahen,2,No description available
BA2130S,Stairs,0,0,0,0,43.659704,-79.397107,Bahen,2,No description available
BA2170S,Stairs,0,0,0,0,43.659601,-79.397707,Bahen,2,No description available
BA2190S,Stairs,0,0,0,0,43.659554,-79.397878,Bahen,2,No description available
BA2290S,Stairs,0,0,0,0,43.659566,-79.397546,Bahen,2,No description available
BA2200S,Stairs,0,0,0,0,43.65955,-79.397552,Bahen,2,No description available
BA2270S,Stairs,0,0,0,0,43.659449,-79.397467,Bahen,2,No description available
BA2243E,Elevator,0,0,0,0,43.659399,-79.397465,Bahen,2,No description available
BA2220S,Stairs,0,0,0,0,43.659343,-79.397795,Bahen,2,No description available
BA2020-2100C,Corridor,0,0,0,0,43.659955,-79.397275,Bahen,2,No description available
BA4010,MeetingRoom,43.660194,-79.397428,43.660146,-79.39734,43.660136,-79.397353,Bahen,4,No description available
BA4000,GradStudentRoom,43.660196,-79.397356,43.660166,-79.39714,43.660138,-79.397343,Bahen,4,No description available
BA4020S,Stair,0,0,0,0,43.660132,-79.397365,Bahen,4,No description available
BA4110,Office,43.659939,-79.397377,43.659929,-79.3973,43.659936,-79.397292,Bahen,4,S. Pasupathy
BA4108,Office,43.659912,-79.397368,43.659904,-79.39729,43.659924,-79.397287,Bahen,4,V. Cirillo
BA4106,Office,43.659887,-79.397357,43.659878,-79.39728,43.659882,-79.397269,Bahen,4,A.Venetsanopoulos
BA4104,Office,43.659862,-79.397345,43.659851,-79.39727,43.65987,-79.397266,Bahen,4,"H. Bannazadeh, A. Tizghadam"
BA4102,Office,43.659836,-79.397337,43.659826,-79.397262,43.659833,-79.397251,Bahen,4,Leo Lee - Research Associate
BA4114,Office,43.659959,-79.397281,43.659924,-79.397227,43.659916,-79.397233,Bahen,4,W. Yu
BA4116,Office,43.659968,-79.39724,43.659932,-79.397194,43.65992,-79.397213,Bahen,4,D. Hatzinakos
BA4118,Office,43.659975,-79.39721,43.659939,-79.39716,43.659933,-79.39717,Bahen,4,B. Li
BA4113,OfficeReception,43.659917,-79.397256,43.659884,-79.39715,43.659902,-79.397269,Bahen,4,L. Liu
BA4127,Office,43.659865,-79.397236,43.659854,-79.39717,43.659886,-79.397188,Bahen,4,No description available
BA4120,Office,43.659981,-79.397174,43.659973,-79.397096,43.659952,-79.397155,Bahen,4,A. Leon-Garcia
BA4122,Office,43.659959,-79.397151,43.659943,-79.397088,43.659952,-79.397155,Bahen,4,B. Liang
BA4124,Office,43.659931,-79.397142,43.65992,-79.397075,43.659921,-79.397151,Bahen,4,S. Valaee
BA4126,Office,43.659907,-79.397135,43.659893,-79.397067,43.659884,-79.39714,Bahen,4,J. Liebeherr
